Water Pump ID,Water Source Type,Water Quality,Distance to Nearest Town,Population Served,Installation Year,Funder,Payment Type,Water Pump Age,Pump Type,GPS Coordinates,Functioning Status
WP018,['Well'],['Clean'],,[18000],,['World Bank'],['Pay per use'],5,['Solar Pump'],"(-17.852419012481366, 22.84838662087779)",['Functioning']
WP019,['River'],,[48],[12000],2007,['USAID'],['Pay per use'],17,,"(-21.673010301324066, 24.45320008395655)",['Functioning']
,['Lake'],['Contaminated'],[18],[18000],,['Red Cross'],['Free'],26,['Motorized Pump'],,['Not Functioning']
WP021,['Lake'],['Clean'],[31],[11000],1991,['Oxfam'],,,['Motorized Pump'],"(-22.76668986435752, 24.9074522758288)",['Functioning']
WP022,['Lake'],['Contaminated'],[23],,2019,['USAID'],,,['Hand Pump'],,['Functioning']
WP023,['Lake'],['Contaminated'],[19],[17000],2017,['USAID'],['Free'],7,['Motorized Pump'],,
WP024,['Well'],['Clean'],[47],[18000],2004,['Red Cross'],['Pay per use'],20,,"(-21.77088719080384, 26.67470269338163)",['Functioning']
WP025,['Borehole'],['Clean'],[28],[12000],,['USAID'],['Free'],31,['Hand Pump'],"(-21.364723359791856, 24.25763587654801)",['Not Functioning']
WP026,['Lake'],,[40],[12000],1993,['USAID'],['Free'],31,['Motorized Pump'],"(-21.22551206226489, 21.411073044748118)",['Functioning']
WP027,,,[23],[13000],1996,['Oxfam'],['Free'],,['Motorized Pump'],"(-23.847561969747257, 25.055826869826795)",['Functioning']
WP028,['Borehole'],['Clean'],,[10000],1999,['World Bank'],,25,['Solar Pump'],"(-22.95767780956836, 21.486817397156752)",['Functioning']
WP029,['Lake'],['Contaminated'],[48],[7000],2020,['Oxfam'],['Pay per use'],4,['Motorized Pump'],"(-21.005609828394864, 27.703138824587857)",['Not Functioning']
WP030,['Lake'],['Contaminated'],,[16000],1993,['USAID'],,31,,"(-18.42368108568765, 27.37738165064754)",
WP031,['Lake'],['Contaminated'],[28],,2006,['Red Cross'],['Free'],18,['Motorized Pump'],"(-18.043521311993732, 21.337903919351124)",
WP032,['Lake'],['Clean'],,[12000],2010,['Red Cross'],['Pay per use'],,,"(-21.231470540250168, 22.22795213984529)",['Not Functioning']
WP033,['Lake'],['Contaminated'],[45],[15000],2007,['World Bank'],['Free'],17,,"(-21.19587717263092, 21.29457439168944)",['Not Functioning']
WP034,['Lake'],['Contaminated'],[44],[15000],2004,['Red Cross'],['Pay per use'],20,['Motorized Pump'],"(-22.995063003513284, 21.432946048820792)",['Functioning']
,['Lake'],['Clean'],[42],[13000],1998,,,,['Motorized Pump'],"(-22.311450231306075, 21.029980754633428)",['Functioning']
WP036,,['Contaminated'],[35],[10000],2015,['World Bank'],['Pay per use'],9,['Motorized Pump'],,['Not Functioning']
WP037,,['Contaminated'],[51],[17000],1998,['USAID'],['Pay per use'],26,['Solar Pump'],"(-21.47357660007607, 20.261952368986933)",['Functioning']
WP038,['Well'],['Contaminated'],[8],[10000],2016,['Red Cross'],['Pay per use'],8,['Motorized Pump'],"(-21.050975020868535, 28.590645569443566)",['Functioning']
,['Well'],['Contaminated'],,,2009,['USAID'],['Pay per use'],15,,,['Functioning']
WP040,['Borehole'],['Clean'],[22],[21000],2011,['Red Cross'],['Pay per use'],13,['Motorized Pump'],"(-21.725106488266473, 22.64339648403541)",['Functioning']
,['Well'],['Contaminated'],[28],[17000],2013,['USAID'],['Pay per use'],,['Motorized Pump'],"(-21.27226514537553, 22.521261591110516)",['Not Functioning']
WP042,['Well'],,[34],[13000],2019,['Oxfam'],['Pay per use'],5,['Motorized Pump'],"(-19.717631318022203, 28.162569912089324)",['Functioning']
WP043,['Lake'],['Contaminated'],[43],,2005,['World Bank'],['Free'],19,['Motorized Pump'],"(-18.507505182896825, 26.673002475949577)",['Functioning']
WP044,['Well'],['Clean'],[25],[14000],2016,['World Bank'],['Pay per use'],8,['Solar Pump'],"(-19.911575903230975, 21.714375918267315)",['Functioning']
WP045,['Lake'],['Contaminated'],[46],[15000],1993,['USAID'],['Pay per use'],31,['Motorized Pump'],"(-23.11126300252386, 25.22843332893567)",['Not Functioning']
WP046,['River'],['Contaminated'],[26],,2018,['Red Cross'],['Pay per use'],6,['Motorized Pump'],"(-19.91657293331891, 28.062916988899516)",['Functioning']
WP047,['Lake'],['Contaminated'],[38],[12000],1996,['USAID'],['Free'],28,['Motorized Pump'],"(-17.889195515643088, 23.26789404394284)",['Not Functioning']
WP048,['Lake'],['Clean'],[30],[12000],2014,['USAID'],['Pay per use'],10,['Motorized Pump'],"(-20.634490526253543, 22.570703024317286)",['Functioning']
WP049,['Well'],['Contaminated'],[34],[12000],1997,['USAID'],['Pay per use'],27,,,['Functioning']
WP050,['Lake'],['Clean'],[14],[13000],2015,['USAID'],['Free'],9,['Motorized Pump'],"(-23.66300721257254, 22.98665637443297)",['Functioning']
WP051,['Well'],['Contaminated'],[36],[12000],2006,['USAID'],['Pay per use'],,['Motorized Pump'],"(-23.965607032685355, 22.77110980792315)",['Functioning']
WP052,,['Contaminated'],,[16000],2017,['Red Cross'],['Free'],7,['Motorized Pump'],"(-20.677370430920366, 25.526975276592516)",
WP053,['River'],['Contaminated'],[40],[15000],,['USAID'],['Free'],11,['Motorized Pump'],"(-23.664556295495917, 21.217495437778243)",
WP054,,['Contaminated'],[43],[18000],2020,['World Bank'],['Pay per use'],4,['Hand Pump'],,
WP055,['Lake'],['Clean'],[37],,1999,['USAID'],['Pay per use'],25,['Motorized Pump'],"(-19.972377957750094, 27.535330276272653)",['Not Functioning']
WP056,['Well'],,[38],[10000],2019,['USAID'],,5,['Motorized Pump'],"(-22.926743140852007, 19.897662711735666)",['Not Functioning']
WP057,,['Contaminated'],,,2009,['USAID'],,15,,"(-19.40326967086563, 24.66117898562692)",['Not Functioning']
WP058,,['Contaminated'],[28],[15000],1995,['Red Cross'],,29,['Motorized Pump'],"(-18.82481322601247, 27.73169601887875)",['Not Functioning']
,['Lake'],['Contaminated'],[34],,1992,['UNICEF'],,32,,"(-21.02156688262601, 27.853514615802823)",
WP060,['Lake'],['Contaminated'],[38],,,['World Bank'],,33,['Solar Pump'],,['Not Functioning']
WP061,['River'],['Contaminated'],[44],[14000],2006,['USAID'],['Pay per use'],,['Motorized Pump'],"(-22.056691998322897, 26.454619074273868)",['Functioning']
WP062,['Lake'],['Clean'],[28],[12000],2017,['USAID'],,7,['Motorized Pump'],"(-18.79431521596398, 27.597320366535982)",['Not Functioning']
WP063,['Borehole'],['Contaminated'],,[16000],2010,['World Bank'],['Pay per use'],14,['Motorized Pump'],"(-18.4785940947517, 26.807791715654293)",['Functioning']
,['Well'],['Contaminated'],[40],[15000],1999,['Red Cross'],['Pay per use'],25,['Motorized Pump'],"(-22.649147900940026, 23.732415801381375)",['Functioning']
WP065,['Well'],['Contaminated'],,[12000],1994,['World Bank'],,30,['Motorized Pump'],"(-20.483955872639367, 20.224281781431074)",['Not Functioning']
WP066,['River'],['Contaminated'],[29],[13000],2000,['Red Cross'],,24,['Motorized Pump'],,['Functioning']
WP067,['Lake'],,[16],[15000],2010,['USAID'],['Free'],14,['Solar Pump'],"(-22.614341456354467, 24.85490085261543)",['Not Functioning']
WP068,,['Contaminated'],[24],[12000],1991,['USAID'],['Free'],,,"(-19.171864621352782, 28.655958336614145)",['Functioning']
WP069,['Lake'],['Clean'],[23],[17000],2002,['Red Cross'],['Pay per use'],22,['Motorized Pump'],"(-23.865089111747235, 24.8316535873882)",['Functioning']
WP070,['Borehole'],['Contaminated'],[33],[14000],2019,['Red Cross'],['Pay per use'],5,['Motorized Pump'],"(-23.607961998987264, 25.948622942975547)",['Functioning']
,,['Clean'],[48],[18000],2017,['World Bank'],['Pay per use'],7,['Motorized Pump'],,
WP072,['Lake'],['Contaminated'],[38],[18000],2015,['USAID'],['Pay per use'],9,['Motorized Pump'],"(-19.463817838017974, 28.976686436422256)",['Functioning']
WP073,,['Contaminated'],[14],[16000],2020,['USAID'],['Free'],4,['Motorized Pump'],"(-21.158767949589016, 20.79661130592541)",['Functioning']
WP074,['Well'],['Contaminated'],[39],,2000,['Red Cross'],['Pay per use'],24,['Motorized Pump'],"(-19.65739085740718, 24.49639787212705)",['Functioning']
WP075,['Well'],['Contaminated'],[38],[13000],2009,['Red Cross'],['Pay per use'],15,['Motorized Pump'],"(-23.92271892943892, 26.281282098776337)",['Functioning']
WP076,['Well'],['Clean'],[10],[14000],2010,['World Bank'],['Pay per use'],14,['Solar Pump'],"(-23.631640428380425, 19.814341916838895)",['Not Functioning']
WP077,['Lake'],['Contaminated'],[56],[15000],2004,['Oxfam'],['Pay per use'],,['Motorized Pump'],"(-22.13547859770592, 23.926529144601272)",['Not Functioning']
WP078,['Borehole'],['Contaminated'],[44],[17000],2014,['USAID'],['Pay per use'],,['Motorized Pump'],"(-19.779794691802874, 26.629409521207013)",['Not Functioning']
WP079,['Lake'],['Clean'],,,2018,['USAID'],['Pay per use'],6,['Solar Pump'],"(-19.714584409164857, 26.447956817381808)",['Functioning']
WP080,['River'],['Contaminated'],[41],[12000],2010,['USAID'],['Pay per use'],14,['Motorized Pump'],"(-21.62426502924477, 22.725395121227212)",['Functioning']
,['Borehole'],['Contaminated'],[43],[16000],2000,['World Bank'],['Pay per use'],24,['Solar Pump'],"(-18.556385610402504, 24.031499004931497)",['Functioning']
WP082,['Lake'],['Contaminated'],[52],[17000],1991,['World Bank'],['Free'],33,['Hand Pump'],"(-23.45997216410344, 20.872821236245446)",['Not Functioning']
WP083,['Lake'],['Contaminated'],[29],[12000],1993,['USAID'],['Pay per use'],,['Motorized Pump'],"(-19.08264881995203, 23.861720822445214)",['Functioning']
WP084,['River'],,[46],[12000],2011,['USAID'],['Pay per use'],13,['Motorized Pump'],"(-20.931611649710813, 24.696393676109572)",['Not Functioning']
WP085,['Lake'],['Contaminated'],[50],[11000],2016,['USAID'],['Free'],8,['Motorized Pump'],,['Functioning']
WP086,['Lake'],['Contaminated'],[16],[14000],2019,['Red Cross'],['Free'],5,['Solar Pump'],"(-17.813163580275653, 23.548227808646388)",['Not Functioning']
WP087,['Lake'],,,[12000],1999,['USAID'],['Pay per use'],25,['Hand Pump'],"(-18.02019455731285, 28.574344999980063)",
WP088,['Lake'],['Contaminated'],[9],,1996,['Red Cross'],['Free'],28,['Motorized Pump'],"(-18.043940181080117, 24.36066899331372)",['Not Functioning']
WP089,['Lake'],['Contaminated'],[17],[7000],2005,['UNICEF'],['Pay per use'],19,['Motorized Pump'],"(-21.064937487034335, 26.633491205781098)",['Functioning']
WP090,['Well'],['Clean'],[54],[13000],2006,['World Bank'],['Pay per use'],18,['Motorized Pump'],,['Functioning']
WP091,['Lake'],['Clean'],,[19000],2010,['USAID'],['Free'],,,"(-21.512932911646047, 21.540850249115163)",['Functioning']
WP092,['Well'],,,[19000],1997,['World Bank'],['Free'],27,['Motorized Pump'],"(-20.642374970918596, 22.90413826861763)",['Functioning']
,,['Contaminated'],[31],,2015,['Red Cross'],['Free'],9,,"(-17.86705856974031, 24.42487657894983)",['Functioning']
WP094,['Well'],['Contaminated'],[32],[17000],2005,['Red Cross'],['Pay per use'],19,,"(-20.843767613099388, 27.413410950220243)",['Functioning']
WP095,['River'],['Clean'],[49],,2004,['Red Cross'],['Free'],20,['Motorized Pump'],"(-17.690136524509718, 27.266169018732775)",['Not Functioning']
WP096,['Lake'],['Contaminated'],[20],,2004,['Red Cross'],['Free'],20,['Motorized Pump'],"(-23.448408521032512, 22.31336783922557)",['Functioning']
WP097,['Well'],['Contaminated'],,[15000],2010,['Red Cross'],['Pay per use'],14,['Motorized Pump'],,['Not Functioning']
WP098,['Well'],['Contaminated'],[11],[17000],1995,['USAID'],['Free'],29,,"(-19.20717835961255, 20.87889617977633)",['Functioning']
WP099,['Borehole'],,[44],,2015,['USAID'],['Pay per use'],9,,"(-18.12296976663725, 26.333495296989053)",['Functioning']
WP100,['Lake'],['Contaminated'],[44],[13000],2001,['World Bank'],['Pay per use'],23,,"(-19.732397903845825, 24.592715733550694)",['Functioning']
WP101,['River'],['Contaminated'],[10],[19000],,['World Bank'],['Pay per use'],,['Motorized Pump'],"(-22.44262960264222, 21.52230850406165)",['Not Functioning']
WP102,['Well'],['Clean'],[32],[11000],2016,['USAID'],['Pay per use'],8,['Hand Pump'],,['Functioning']
,['River'],['Clean'],[22],[16000],2009,['Red Cross'],['Free'],15,['Motorized Pump'],"(-17.85219995064346, 24.92324854131567)",['Functioning']
WP104,['River'],['Contaminated'],[44],[17000],2012,['Red Cross'],['Pay per use'],12,['Solar Pump'],"(-19.08749894357276, 26.964230040648616)",['Functioning']
WP105,['Lake'],['Clean'],,[14000],2006,['Red Cross'],['Free'],18,['Motorized Pump'],"(-22.014372298314484, 21.178983836774442)",['Not Functioning']
WP106,['Lake'],['Clean'],,[11000],1991,['Oxfam'],['Pay per use'],33,['Motorized Pump'],"(-23.217584379164876, 25.634327335103897)",['Functioning']
WP107,['Lake'],['Contaminated'],[27],[15000],2002,['USAID'],['Pay per use'],22,['Motorized Pump'],"(-18.50885301537484, 20.107132994392472)",['Functioning']
WP108,,['Clean'],[36],[14000],2014,['World Bank'],['Free'],10,['Motorized Pump'],,['Functioning']
WP109,['River'],['Clean'],[33],[16000],2012,['Red Cross'],['Free'],12,['Motorized Pump'],"(-20.893803645354925, 20.84138246458866)",['Not Functioning']
WP110,['Well'],['Contaminated'],,[11000],2008,['Oxfam'],['Pay per use'],,['Motorized Pump'],"(-21.98796515408621, 27.310039438262958)",['Not Functioning']
WP111,,['Contaminated'],,[11000],1991,['Red Cross'],['Pay per use'],33,['Motorized Pump'],"(-21.068798487362628, 22.051484319029505)",['Functioning']
WP112,['Well'],['Contaminated'],[53],[20000],2007,['USAID'],['Pay per use'],17,['Motorized Pump'],"(-19.499915826873774, 24.072073224973245)",
WP113,['River'],['Contaminated'],[24],[11000],1995,['Red Cross'],['Pay per use'],29,['Motorized Pump'],"(-23.842542100543994, 22.066788255108143)",['Functioning']
WP114,,['Contaminated'],[12],[8000],2019,['USAID'],['Pay per use'],5,['Motorized Pump'],"(-22.476426618692784, 25.085300087272593)",['Functioning']
WP115,['Well'],['Contaminated'],[28],[12000],2005,['USAID'],['Pay per use'],,['Solar Pump'],,['Functioning']
WP116,['River'],['Contaminated'],[37],[9000],2009,['USAID'],['Free'],15,['Hand Pump'],"(-20.93569251381657, 24.533601087564996)",['Functioning']
WP117,,['Contaminated'],[19],[10000],2018,,['Pay per use'],6,,"(-23.20157550961016, 25.25973588843904)",['Functioning']
WP118,,['Contaminated'],[13],,1996,['World Bank'],,28,['Motorized Pump'],"(-20.703601665661203, 25.815499129641722)",['Not Functioning']
WP119,['Well'],,[18],[14000],2003,['USAID'],['Pay per use'],21,['Motorized Pump'],"(-22.567938117586113, 26.314446531618188)",['Functioning']
WP120,['Well'],['Clean'],[10],[11000],2010,['Oxfam'],['Pay per use'],14,['Motorized Pump'],"(-18.84173888664791, 27.653180810247637)",['Functioning']
WP121,['Lake'],['Contaminated'],[12],,1997,['Red Cross'],,27,['Motorized Pump'],"(-19.490425751999894, 25.05297759732215)",['Functioning']
WP122,['Lake'],['Contaminated'],[44],,1998,['USAID'],['Pay per use'],26,['Motorized Pump'],"(-18.750853593038972, 28.358486452429144)",['Functioning']
,['Lake'],['Contaminated'],[46],[13000],2000,['Oxfam'],,24,['Motorized Pump'],"(-20.405312692266282, 19.966437851285527)",['Functioning']
WP124,['Well'],,[34],[12000],1990,['USAID'],['Pay per use'],34,['Motorized Pump'],"(-18.81256903076216, 24.195415135011647)",['Not Functioning']
WP125,['Lake'],['Contaminated'],[31],[17000],2015,['Oxfam'],['Free'],9,['Motorized Pump'],"(-19.20882662188069, 26.576281351644774)",['Functioning']
WP126,['Lake'],['Clean'],[43],[15000],2006,,['Pay per use'],18,['Motorized Pump'],"(-17.530639833288742, 27.86357677627477)",['Functioning']
WP127,['Lake'],['Clean'],[42],[11000],2004,['Red Cross'],['Pay per use'],20,['Motorized Pump'],"(-22.877211163468015, 20.20672376213519)",['Functioning']
WP128,['River'],,[8],[15000],2020,['USAID'],['Pay per use'],4,['Motorized Pump'],"(-23.228597828002833, 21.564065679245484)",['Functioning']
WP129,['Lake'],['Contaminated'],[38],,,['Red Cross'],['Pay per use'],21,['Motorized Pump'],"(-21.06019037196501, 26.752211370806908)",['Functioning']
WP130,['Lake'],['Contaminated'],[60],,2019,['USAID'],['Pay per use'],5,['Motorized Pump'],"(-23.445120150423847, 20.241006534090122)",['Functioning']
WP131,['Lake'],['Contaminated'],[16],[9000],2005,['USAID'],['Pay per use'],19,['Motorized Pump'],"(-19.585804580926688, 26.478617880006556)",['Not Functioning']
,['Lake'],['Clean'],[29],[14000],2012,['USAID'],['Free'],12,['Motorized Pump'],"(-23.17738925848437, 22.77381124261309)",['Functioning']
WP133,['Lake'],['Contaminated'],[9],[17000],2006,['USAID'],['Pay per use'],,['Motorized Pump'],"(-23.136252682340636, 21.48518632535649)",['Not Functioning']
WP134,['Lake'],['Contaminated'],[13],[14000],2016,['Oxfam'],['Pay per use'],8,['Motorized Pump'],"(-22.94543459693008, 21.398796807267907)",['Not Functioning']
WP135,['Lake'],['Contaminated'],[48],[18000],2006,['USAID'],['Free'],18,,"(-18.54740652504006, 27.54948806176525)",['Not Functioning']
WP136,['Borehole'],['Clean'],[57],[14000],,['Red Cross'],['Free'],23,['Solar Pump'],"(-23.524888248714635, 19.658853973715043)",['Not Functioning']
WP137,['Borehole'],['Contaminated'],[30],[15000],2013,['Red Cross'],['Free'],11,['Motorized Pump'],"(-22.670878439409783, 26.950525224517303)",['Functioning']
WP138,['Borehole'],['Contaminated'],[12],[15000],2001,['World Bank'],['Pay per use'],,['Motorized Pump'],"(-18.84823909106178, 26.834876203847823)",['Functioning']
WP139,['Lake'],['Contaminated'],[38],[11000],2016,['World Bank'],['Free'],8,['Solar Pump'],"(-23.91465160766242, 26.284023674363304)",['Functioning']
WP140,['Lake'],['Contaminated'],[32],[17000],2008,,['Pay per use'],16,['Solar Pump'],"(-23.56659333420251, 20.196701481405412)",['Functioning']
WP141,,['Clean'],,,2006,['Red Cross'],['Pay per use'],18,['Motorized Pump'],"(-18.03170915880361, 25.63986769062543)",['Not Functioning']
WP142,['Lake'],['Contaminated'],[18],[13000],2000,['Red Cross'],['Pay per use'],24,,"(-21.20365376571268, 20.63864052846769)",['Functioning']
WP143,['Well'],['Clean'],[28],[10000],1997,['Oxfam'],['Pay per use'],27,,"(-18.070407495152303, 24.02664633700469)",['Not Functioning']
WP144,['Well'],['Contaminated'],[36],,2018,['Oxfam'],['Free'],6,,"(-18.617863559732164, 28.72634321715971)",['Not Functioning']
WP145,['Lake'],['Contaminated'],[39],,2019,['USAID'],['Pay per use'],5,['Hand Pump'],"(-20.29813485750617, 25.6732105809752)",['Functioning']
WP146,,['Clean'],,[12000],,['UNICEF'],['Pay per use'],14,['Solar Pump'],"(-20.714455675022524, 22.877615092578388)",['Not Functioning']
WP147,['Well'],,[37],[13000],1992,['World Bank'],['Pay per use'],32,['Motorized Pump'],"(-22.228285024856667, 26.04604356028901)",['Functioning']
WP148,,['Contaminated'],[56],[11000],,['World Bank'],['Pay per use'],34,['Motorized Pump'],"(-23.600791253714483, 21.217699978519832)",['Not Functioning']
WP149,['Well'],['Contaminated'],[8],[12000],1997,['Red Cross'],['Pay per use'],27,['Motorized Pump'],"(-23.448577760439505, 22.828281485793244)",['Not Functioning']
WP150,['Well'],['Contaminated'],[24],[10000],,,['Free'],30,['Motorized Pump'],"(-18.802214175957715, 26.758089686968344)",['Functioning']
WP151,['Lake'],['Contaminated'],[50],[13000],2014,['Oxfam'],['Pay per use'],10,['Solar Pump'],,['Not Functioning']
WP152,['Lake'],['Contaminated'],[48],[11000],1991,['USAID'],['Pay per use'],33,['Motorized Pump'],"(-20.27388013736503, 25.48340225630014)",['Functioning']
WP153,['Well'],['Contaminated'],[23],,2000,['USAID'],['Free'],24,['Motorized Pump'],"(-20.23168434168313, 25.795259324554397)",['Functioning']
WP154,['Borehole'],['Contaminated'],[28],[14000],1992,['World Bank'],['Pay per use'],32,['Motorized Pump'],"(-22.84162317020495, 21.524966397929433)",['Not Functioning']
WP155,['Well'],['Contaminated'],[34],[15000],1996,['Red Cross'],['Pay per use'],28,,"(-20.990366769177474, 25.743335318270397)",['Functioning']
WP156,['Lake'],['Contaminated'],[34],,2004,['USAID'],['Pay per use'],20,['Motorized Pump'],,['Functioning']
WP157,['River'],['Contaminated'],,[18000],2006,['Red Cross'],['Free'],18,['Motorized Pump'],"(-22.08098761270633, 21.612732593990135)",['Functioning']
WP158,['Lake'],['Clean'],[14],[19000],1999,['USAID'],['Pay per use'],25,,,['Not Functioning']
WP159,['Lake'],['Contaminated'],[47],[11000],2004,,['Pay per use'],20,['Motorized Pump'],"(-23.97750870258154, 19.442026707011888)",['Functioning']
WP160,['Lake'],['Clean'],[16],,2013,['USAID'],['Pay per use'],11,['Motorized Pump'],"(-20.619772377497057, 26.425130269162523)",
WP161,['Lake'],['Clean'],[43],[14000],1992,['USAID'],['Pay per use'],32,['Motorized Pump'],"(-19.669968585699408, 25.800164395314038)",['Functioning']
,['Lake'],['Contaminated'],[55],[13000],1995,['Red Cross'],['Pay per use'],29,,"(-21.955120000727526, 27.65544626777661)",
WP163,['Borehole'],['Contaminated'],[35],[12000],2019,['Red Cross'],['Pay per use'],5,,"(-21.837007178600228, 21.198210137573195)",['Functioning']
WP164,['Borehole'],['Contaminated'],[47],[13000],1993,['Red Cross'],['Free'],31,['Motorized Pump'],"(-19.516340530569266, 26.052809370256103)",
WP165,['Lake'],['Contaminated'],[38],[10000],2013,['Oxfam'],['Pay per use'],11,['Motorized Pump'],"(-23.216318415955072, 20.680354559279284)",['Functioning']
WP166,['Lake'],['Clean'],[31],[10000],1990,,['Pay per use'],34,['Solar Pump'],"(-20.984079957543955, 21.79707643714987)",['Functioning']
WP167,['Well'],['Contaminated'],[19],[15000],2009,['World Bank'],['Pay per use'],15,['Motorized Pump'],"(-20.86626457628531, 22.360242221670696)",['Not Functioning']
WP168,['Lake'],['Contaminated'],[28],[14000],1997,['Oxfam'],['Free'],,['Motorized Pump'],"(-22.352813224608905, 21.16061125691556)",['Functioning']
WP169,['Borehole'],['Contaminated'],[43],[12000],2012,['USAID'],['Pay per use'],12,['Motorized Pump'],"(-18.363490101079414, 21.188227580336978)",
WP170,['Lake'],['Clean'],[19],[13000],2016,['UNICEF'],['Pay per use'],8,,"(-18.780223577288258, 25.426977238560355)",['Functioning']
,,['Contaminated'],[16],[14000],2008,['Oxfam'],['Pay per use'],16,['Motorized Pump'],"(-22.13614128044289, 24.58904056898832)",['Functioning']
WP172,['River'],['Clean'],[38],,1994,['UNICEF'],['Pay per use'],30,['Motorized Pump'],"(-18.88288405807777, 24.191719743575685)",['Functioning']
,['Lake'],['Clean'],[16],[13000],1997,['USAID'],['Pay per use'],27,['Motorized Pump'],"(-21.239715740409338, 21.919153045431223)",['Functioning']
WP174,['Lake'],['Clean'],[33],[14000],2006,,,18,['Motorized Pump'],"(-21.1507833508546, 19.89760452612271)",['Functioning']
WP175,['Lake'],,[36],[15000],2014,['World Bank'],['Pay per use'],10,['Motorized Pump'],"(-23.035133691923445, 24.84102046570057)",['Functioning']
WP176,['Borehole'],['Contaminated'],[30],[14000],,['Red Cross'],['Free'],29,['Motorized Pump'],"(-22.840906952308792, 19.20416755262353)",['Functioning']
WP177,['Well'],['Contaminated'],[37],,,['USAID'],['Pay per use'],13,['Motorized Pump'],"(-21.284708141652857, 27.520240985256677)",['Not Functioning']
WP178,['Well'],['Contaminated'],[47],,1996,,['Free'],28,,"(-20.359943005124148, 26.509933818771017)",['Functioning']
WP179,['Lake'],['Contaminated'],,[15000],2016,['UNICEF'],['Free'],8,['Hand Pump'],"(-21.509275962328495, 24.733708213103927)",['Functioning']
WP180,['Lake'],['Clean'],[14],[13000],,['USAID'],['Pay per use'],,['Motorized Pump'],"(-19.66758041587551, 25.309674552911318)",['Functioning']
,['Lake'],['Contaminated'],[24],[11000],1997,['World Bank'],['Pay per use'],,['Motorized Pump'],"(-22.91768493044065, 20.193928660285067)",['Not Functioning']
WP182,['Well'],['Contaminated'],[29],[15000],,['USAID'],['Pay per use'],23,['Motorized Pump'],"(-18.51388400350493, 27.645971713482506)",['Functioning']
,['Lake'],['Contaminated'],[38],[17000],,['Oxfam'],['Pay per use'],17,['Motorized Pump'],"(-17.98464026811444, 19.47335404891252)",['Functioning']
,['Lake'],['Clean'],[28],[11000],2003,['World Bank'],['Pay per use'],21,['Motorized Pump'],"(-23.826531188503697, 21.06803976721682)",
WP185,['Borehole'],['Clean'],[43],[17000],1995,['USAID'],['Pay per use'],29,['Motorized Pump'],"(-19.36923467431587, 25.103184879113165)",['Functioning']
WP186,,['Contaminated'],[12],[17000],2017,['USAID'],['Pay per use'],7,['Motorized Pump'],"(-22.294687456990452, 20.568767046079312)",
